No,A,B,C,D,E,pH,Cat,Voltage,Time,Na2SO4,Removal,SN_ratio,Energy
1,-2,-2,-2,-2,-2,3,0.15,5,10,8,45.93,33.2424,0.22
2,-2,-1,-1,-1,-1,3,0.3,7.5,20,16,85.19,38.6078,2.42
3,-2,0,0,0,0,3,0.45,10,30,24,96.4,39.6817,11.78
4,-2,1,1,1,1,3,0.6,12.5,40,32,95.57,39.6068,37.04
5,-2,2,2,2,2,3,0.75,15,50,40,92.75,39.3462,104.06
6,-1,-2,-1,0,1,4,0.15,7.5,30,32,95.75,39.6224,6.15
7,-1,-1,0,1,2,4,0.3,10,40,40,96.69,39.7078,20.87
8,-1,0,1,2,-2,4,0.45,12.5,50,8,90.36,39.1198,17.84
9,-1,1,2,-2,-1,4,0.6,15,10,16,74.82,37.48,7.21
10,-1,2,-2,-1,0,4,0.75,5,20,24,55.44,34.8757,0.81
11,0,-2,0,2,-1,5,0.15,10,50,16,91.49,39.2274,12.36
12,0,-1,1,-2,0,5,0.3,12.5,10,24,76.4,37.6617,5.94
13,0,0,2,-1,1,5,0.45,15,20,32,89.46,39.0321,25.05
14,0,1,-2,0,2,5,0.6,5,30,40,77.71,37.8097,1.63
15,0,2,-1,1,-2,5,0.75,7.5,40,8,68.89,36.7629,3
16,1,-2,1,-1,2,6.5,0.15,12.5,20,40,95.98,39.6438,17.15
17,1,-1,2,0,-2,6.5,0.3,15,30,8,80.52,38.1182,14.32
18,1,0,-2,1,-1,6.5,0.45,5,40,16,85.34,38.6228,1.28
19,1,1,-1,2,0,6.5,0.6,7.5,50,24,94.75,39.532,8.12
20,1,2,0,-2,1,6.5,0.75,10,10,32,73.33,37.3054,4.17
21,2,-2,2,1,0,7,0.15,15,40,24,99.89,39.9967,42.3
22,2,-1,-2,2,1,7,0.3,5,50,32,96.95,39.7311,2.55
23,2,0,-1,-2,2,7,0.45,7.5,10,40,68.25,36.6821,2.04
24,2,1,0,-1,-2,7,0.6,10,20,8,61.04,35.7118,3.5
25,2,2,1,0,-1,7,0.75,12.5,30,16,94.32,39.4922,14.05
